,발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,lon,lat,월,시,분
26,2015,야,일,1,1,0,0,0,서울,관악구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,951585.0,1942458.0,126.9524051,37.48008785,1,0,3
72,2015,야,화,1,1,0,0,0,서울,영등포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,947727.0,1944613.0,126.9086183,37.49930101,1,21,8
85,2015,야,수,1,1,0,0,0,서울,서초구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승합차,대형,보행자,보행자,954246.0,1943066.0,126.9824632,37.4857036,1,21,40
102,2015,야,금,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,955475.0,1951772.0,126.9958365,37.56423328,1,20,40
107,2015,야,토,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,964672.0,1946089.0,127.10024650000001,37.51340898,1,2,45
108,2015,야,토,1,1,0,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,과속,교차로,교차로부근,승용차,중형,보행자,보행자,945002.0,1945228.0,126.87774509999998,37.50468574,1,3,52
113,2015,야,토,1,1,0,0,0,서울,성동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,958885.0,1949153.0,127.034594,37.54078605,1,21,50
154,2015,야,수,1,1,0,0,0,서울,강동구,차대차,측면충돌,운전자법규위반,차로위반(진로변경 위반),교차로,교차로부근,원동기장치자전거,원동기장치자전거,화물차,중형,967180.0,1947241.0,127.12857369999999,37.52388511,1,4,35
172,2015,야,목,1,1,0,0,0,서울,서대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승합차,중형,보행자,보행자,949255.0,1952045.0,126.9253906,37.56637211,1,20,3
181,2015,주,금,1,1,0,0,0,서울,영등포구,차대차,측면충돌,운전자법규위반,안전거리 미확보,단일로,횡단보도상,이륜차,소형,화물차,소형,947827.0,1946786.0,126.90959540000001,37.51889229,1,14,38
190,2015,야,토,1,1,0,0,0,서울,서초구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,955683.0,1942390.0,126.99875759999999,37.47968066,1,1,42
201,2015,주,토,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,945793.0,1939876.0,126.88708829999999,37.45649401,1,17,0
219,2015,주,월,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,신호위반,단일로,횡단보도상,특수차,중형,보행자,보행자,948843.0,1955948.0,126.92045290000002,37.60152734,1,10,10
228,2015,야,월,1,1,0,0,0,서울,강북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,957733.0,1957897.0,127.0210496,37.61954561,1,23,56
230,2015,야,화,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,968431.0,1948370.0,127.14268249999999,37.53410497,1,4,0
232,2015,주,화,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,화물차,소형,보행자,보행자,947402.0,1940054.0,126.90526740000001,37.45819131,1,6,50
258,2015,주,목,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,964847.1,1943139.7,127.10236880000001,37.48683231,1,6,35
326,2015,주,수,1,1,0,0,0,서울,성북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,보행자,보행자,960893.0,1957549.0,127.05687490000001,37.61654891,1,16,15
364,2015,야,토,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,947245.0,1941891.0,126.90336070000001,37.47473967,1,23,10
368,2015,주,일,1,1,0,0,0,서울,노원구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,962170.0,1959878.0,127.07122379999998,37.63759415,2,9,12
399,2015,주,수,1,1,0,0,0,서울,관악구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,949633.0,1943377.0,126.9302652,37.48826664,2,17,35
409,2015,야,목,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,중형,보행자,보행자,957448.0,1946854.0,127.0184615,37.51999925,2,20,55
423,2015,야,토,1,1,0,0,0,서울,영등포구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,화물차,소형,948447.0,1946627.0,126.9166223,37.51749406,2,4,0
439,2015,주,일,1,1,0,0,0,서울,강남구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,자전거,자전거,960164.2,1943353.6,127.0493881,37.48857013,2,6,30
449,2015,주,월,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,948120.0,1954302.0,126.91237920000002,37.58665136,2,7,5
461,2015,야,화,1,1,0,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,943096.0,1943262.0,126.85633370000001,37.48685041,2,4,15
510,2015,야,금,1,2,0,1,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,이륜차,중형,보행자,보행자,960559.0,1952873.0,127.0533424,37.57438870000001,2,20,35
519,2015,야,일,1,2,1,0,0,서울,도봉구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,이륜차,소형,보행자,보행자,958948.0,1961091.0,127.0346376,37.64838873,2,0,19
551,2015,주,수,1,1,0,0,0,서울,영등포구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,화물차,중형,보행자,보행자,945692.0,1947107.0,126.8854126,37.52166227,2,8,23
556,2015,야,수,1,1,0,0,0,서울,영등포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,947797.0,1945342.0,126.9093585,37.50587558,2,19,34
579,2015,주,토,1,1,0,0,0,서울,서대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,952806.0,1952084.0,126.96559599999999,37.56691247,2,6,38
600,2015,야,월,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,948170.0,1954470.0,126.91293359999999,37.58816838,2,21,10
645,2015,주,토,1,1,0,0,0,서울,강북구,차대사람,보도통행중,운전자법규위반,신호위반,교차로,교차로부근,승용차,중형,보행자,보행자,956977.0,1958510.0,127.01244720000001,37.62503559,2,15,35
657,2015,야,월,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,과속,단일로,횡단보도부근,승용차,중형,보행자,보행자,953168.0,1950111.0,126.969821,37.54914793,3,0,30
664,2015,주,월,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,중형,보행자,보행자,966955.0,1944512.0,127.12615009999999,37.49927935,3,10,30
732,2015,야,일,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,958752.3,1947540.0,127.03318259999999,37.52624165,3,1,47
875,2015,야,금,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,소형,보행자,보행자,960540.3,1942490.4,127.0536886,37.4808059,3,4,0
896,2015,야,일,1,1,0,0,0,서울,강북구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,원동기장치자전거,원동기장치자전거,958243.0,1957662.0,127.02684199999999,37.61745083,3,1,0
906,2015,야,월,1,2,1,0,0,서울,강북구,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,중형,958389.0,1959614.0,127.02838510000001,37.63505115,3,3,34
907,2015,주,월,1,1,0,0,0,서울,성동구,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,자전거,자전거,960726.0,1949575.0,127.05541029999999,37.54466997,3,6,35
937,2015,야,목,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,승용차,중형,보행자,보행자,960468.0,1946182.0,127.05267240000002,37.51407665,3,4,30
