,사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,lat,lon,사고다발지역폴리곤정보,데이터기준일자,구
4957,2016040,2015,스쿨존어린이,11260001,서울특별시 중랑구1,서울특별시 중랑구 묵동(묵현초교 부근),3,3,0,0,3,0,37.60834366,127.07501402,"{type:Polygon,coordinates:[[[127.07770897,37.60834366],[127.07765719,37.60792715],[127.07750383,37.60752665],[127.07725479,37.60715754],[127.07691964,37.60683401],[127.07651126,37.6065685],[127.07604534,37.60637121],[127.07553978,37.60624971],[127.07501402,37.60620869],[127.07448827,37.60624971],[127.07398271,37.60637121],[127.07351679,37.6065685],[127.07310841,37.60683401],[127.07277326,37.60715754],[127.07252422,37.60752665],[127.07237086,37.60792715],[127.07231908,37.60834366],[127.07237086,37.60876016],[127.07252422,37.60916066],[127.07277326,37.60952976],[127.07310841,37.60985327],[127.07351679,37.61011877],[127.07398271,37.61031606],[127.07448827,37.61043755],[127.07501402,37.61047857],[127.07553978,37.61043755],[127.07604534,37.61031606],[127.07651126,37.61011877],[127.07691964,37.60985327],[127.07725479,37.60952976],[127.07750383,37.60916066],[127.07765719,37.60876016],[127.07770897,37.60834366]]]}",2019-10-10,중랑구
4958,2016040,2015,스쿨존어린이,11290001,서울특별시 성북구1,서울특별시 성북구 장위동(장위초교 부근),3,3,0,0,3,0,37.61118575,127.0482841,"{type:Polygon,coordinates:[[[127.05097904,37.61118575],[127.05092726,37.61076926],[127.0507739,37.61036877],[127.05052486,37.60999968],[127.05018971,37.60967617],[127.04978133,37.60941066],[127.04931541,37.60921338],[127.04880986,37.60909189],[127.0482841,37.60905087],[127.04775834,37.60909189],[127.04725279,37.60921338],[127.04678687,37.60941066],[127.04637848,37.60967617],[127.04604333,37.60999968],[127.04579429,37.61036877],[127.04564093,37.61076926],[127.04558915,37.61118575],[127.04564093,37.61160224],[127.04579429,37.61200272],[127.04604333,37.61237181],[127.04637848,37.61269531],[127.04678687,37.6129608],[127.04725279,37.61315808],[127.04775834,37.61327956],[127.0482841,37.61332058],[127.04880986,37.61327956],[127.04931541,37.61315808],[127.04978133,37.6129608],[127.05018971,37.61269531],[127.05052486,37.61237181],[127.0507739,37.61200272],[127.05092726,37.61160224],[127.05097904,37.61118575]]]}",2019-10-10,성북구
4959,2016040,2015,스쿨존어린이,11320001,서울특별시 도봉구1,서울특별시 도봉구 창동(창원초교 부근),3,3,0,2,1,0,37.65341616,127.04102272,"{type:Polygon,coordinates:[[[127.04371766,37.65341616],[127.04366588,37.65299991],[127.04351252,37.65259965],[127.04326348,37.65223077],[127.04292833,37.65190743],[127.04251995,37.65164208],[127.04205403,37.65144491],[127.04154847,37.65132349],[127.04102272,37.65128249],[127.04049696,37.65132349],[127.03999141,37.65144491],[127.03952548,37.65164208],[127.0391171,37.65190743],[127.03878195,37.65223077],[127.03853291,37.65259965],[127.03837955,37.65299991],[127.03832777,37.65341616],[127.03837955,37.65383242],[127.03853291,37.65423267],[127.03878195,37.65460154],[127.0391171,37.65492486],[127.03952548,37.6551902],[127.03999141,37.65538737],[127.04049696,37.65550878],[127.04102272,37.65554978],[127.04154847,37.65550878],[127.04205403,37.65538737],[127.04251995,37.6551902],[127.04292833,37.65492486],[127.04326348,37.65460154],[127.04351252,37.65423267],[127.04366588,37.65383242],[127.04371766,37.65341616]]]}",2019-10-10,도봉구
4960,2016040,2015,스쿨존어린이,11545001,서울특별시 금천구1,서울특별시 금천구 시흥동(문백초교 부근),1,1,1,0,0,0,37.44943793,126.90005821,"{type:Polygon,coordinates:[[[126.90275316,37.44943793],[126.90270137,37.44902053],[126.90254801,37.44861917],[126.90229898,37.44824928],[126.90196382,37.44792506],[126.90155544,37.44765898],[126.90108952,37.44746127],[126.90058397,37.44733952],[126.90005821,37.4472984],[126.89953245,37.44733952],[126.8990269,37.44746127],[126.89856098,37.44765898],[126.8981526,37.44792506],[126.89781744,37.44824928],[126.8975684,37.44861917],[126.89741505,37.44902053],[126.89736326,37.44943793],[126.89741505,37.44985532],[126.8975684,37.45025667],[126.89781744,37.45062655],[126.8981526,37.45095076],[126.89856098,37.45121683],[126.8990269,37.45141453],[126.89953245,37.45153628],[126.90005821,37.45157739],[126.90058397,37.45153628],[126.90108952,37.45141453],[126.90155544,37.45121683],[126.90196382,37.45095076],[126.90229898,37.45062655],[126.90254801,37.45025667],[126.90270137,37.44985532],[126.90275316,37.44943793]]]}",2019-10-10,금천구
5000,2016044,2015,보행어린이,11170001,서울특별시 용산구1,"서울특별시 용산구 이촌동(이촌1동 주민선터, 용산청소년수 부근)",3,4,0,0,2,2,37.52142421,126.97301032,"{type:Polygon,coordinates:[[[126.97480695,37.52142421],[126.97477243,37.52114621],[126.97467019,37.5208789],[126.97450417,37.52063254],[126.97428073,37.5204166],[126.97400848,37.52023939],[126.97369786,37.52010771],[126.97336083,37.52002662],[126.97301032,37.51999924],[126.97265982,37.52002662],[126.97232278,37.52010771],[126.97201217,37.52023939],[126.97173991,37.5204166],[126.97151648,37.52063254],[126.97135045,37.5208789],[126.97124821,37.52114621],[126.97121369,37.52142421],[126.97124821,37.5217022],[126.97135045,37.52196951],[126.97151648,37.52221586],[126.97173991,37.52243179],[126.97201217,37.522609],[126.97232278,37.52274068],[126.97265982,37.52282177],[126.97301032,37.52284915],[126.97336083,37.52282177],[126.97369786,37.52274068],[126.97400848,37.522609],[126.97428073,37.52243179],[126.97450417,37.52221586],[126.97467019,37.52196951],[126.97477243,37.5217022],[126.97480695,37.52142421]]]}",2019-10-10,용산구
5001,2016044,2015,보행어린이,11230001,서울특별시 동대문구1,서울특별시 동대문구 장안동(승용빌딩 부근),3,3,0,1,1,1,37.5664938,127.06812139,"{type:Polygon,coordinates:[[[127.06991802,37.5664938],[127.06988349,37.56621597],[127.06978126,37.56594882],[127.06961523,37.56570261],[127.0693918,37.5654868],[127.06911954,37.5653097],[127.06880893,37.5651781],[127.06847189,37.56509705],[127.06812139,37.56506969],[127.06777088,37.56509705],[127.06743385,37.5651781],[127.06712323,37.5653097],[127.06685098,37.5654868],[127.06662754,37.56570261],[127.06646152,37.56594882],[127.06635928,37.56621597],[127.06632476,37.5664938],[127.06635928,37.56677162],[127.06646152,37.56703877],[127.06662754,37.56728498],[127.06685098,37.56750078],[127.06712323,37.56767788],[127.06743385,37.56780948],[127.06777088,37.56789051],[127.06812139,37.56791788],[127.06847189,37.56789051],[127.06880893,37.56780948],[127.06911954,37.56767788],[127.0693918,37.56750078],[127.06961523,37.56728498],[127.06978126,37.56703877],[127.06988349,37.56677162],[127.06991802,37.5664938]]]}",2019-10-10,동대문구
5002,2016044,2015,보행어린이,11260001,서울특별시 중랑구1,서울특별시 중랑구 상봉동(중화초교 부근),3,3,0,0,3,0,37.60241742,127.09493323,"{type:Polygon,coordinates:[[[127.09672986,37.60241742],[127.09669534,37.60213972],[127.0965931,37.6018727],[127.09642707,37.60162661],[127.09620364,37.60141091],[127.09593138,37.60123389],[127.09562077,37.60110235],[127.09528373,37.60102135],[127.09493323,37.600994],[127.09458272,37.60102135],[127.09424569,37.60110235],[127.09393507,37.60123389],[127.09366282,37.60141091],[127.09343938,37.60162661],[127.09327336,37.6018727],[127.09317112,37.60213972],[127.0931366,37.60241742],[127.09317112,37.60269511],[127.09327336,37.60296213],[127.09343938,37.60320821],[127.09366282,37.60342391],[127.09393507,37.60360092],[127.09424569,37.60373246],[127.09458272,37.60381346],[127.09493323,37.60384081],[127.09528373,37.60381346],[127.09562077,37.60373246],[127.09593138,37.60360092],[127.09620364,37.60342391],[127.09642707,37.60320821],[127.0965931,37.60296213],[127.09669534,37.60269511],[127.09672986,37.60241742]]]}",2019-10-10,중랑구
5003,2016044,2015,보행어린이,11260002,서울특별시 중랑구2,서울특별시 중랑구 묵동(묵2동사무소 부근),3,3,0,0,3,0,37.60944832,127.0745578,"{type:Polygon,coordinates:[[[127.07635443,37.60944832],[127.07631991,37.60917065],[127.07621767,37.60890365],[127.07605165,37.60865758],[127.07582821,37.6084419],[127.07555596,37.6082649],[127.07524534,37.60813337],[127.07490831,37.60805238],[127.0745578,37.60802503],[127.0742073,37.60805238],[127.07387026,37.60813337],[127.07355965,37.6082649],[127.07328739,37.6084419],[127.07306396,37.60865758],[127.07289793,37.60890365],[127.0727957,37.60917065],[127.07276117,37.60944832],[127.0727957,37.60972598],[127.07289793,37.60999298],[127.07306396,37.61023904],[127.07328739,37.61045471],[127.07355965,37.61063171],[127.07387026,37.61076324],[127.0742073,37.61084423],[127.0745578,37.61087157],[127.07490831,37.61084423],[127.07524534,37.61076324],[127.07555596,37.61063171],[127.07582821,37.61045471],[127.07605165,37.61023904],[127.07621767,37.60999298],[127.07631991,37.60972598],[127.07635443,37.60944832]]]}",2019-10-10,중랑구
5004,2016044,2015,보행어린이,11290001,서울특별시 성북구1,서울특별시 성북구 하월곡동(하월곡생명중앙교회 부근),3,4,0,0,4,0,37.60785103,127.03637553,"{type:Polygon,coordinates:[[[127.03817216,37.60785103],[127.03813764,37.60757336],[127.0380354,37.60730636],[127.03786937,37.60706028],[127.03764594,37.6068446],[127.03737368,37.60666759],[127.03706307,37.60653606],[127.03672603,37.60645507],[127.03637553,37.60642772],[127.03602502,37.60645507],[127.03568799,37.60653606],[127.03537737,37.60666759],[127.03510512,37.6068446],[127.03488168,37.60706028],[127.03471566,37.60730636],[127.03461342,37.60757336],[127.0345789,37.60785103],[127.03461342,37.6081287],[127.03471566,37.6083957],[127.03488168,37.60864177],[127.03510512,37.60885745],[127.03537737,37.60903445],[127.03568799,37.60916598],[127.03602502,37.60924697],[127.03637553,37.60927432],[127.03672603,37.60924697],[127.03706307,37.60916598],[127.03737368,37.60903445],[127.03764594,37.60885745],[127.03786937,37.60864177],[127.0380354,37.6083957],[127.03813764,37.6081287],[127.03817216,37.60785103]]]}",2019-10-10,성북구
5005,2016044,2015,보행어린이,11320001,서울특별시 도봉구1,서울특별시 도봉구 방학동(신동아아파트(방학동)11동 부근),4,4,0,1,2,1,37.66116125,127.02760471,"{type:Polygon,coordinates:[[[127.02940134,37.66116125],[127.02936682,37.66088378],[127.02926458,37.66061696],[127.02909856,37.66037107],[127.02887512,37.66015554],[127.02860287,37.65997866],[127.02829225,37.65984722],[127.02795522,37.65976628],[127.02760471,37.65973895],[127.02725421,37.65976628],[127.02691717,37.65984722],[127.02660656,37.65997866],[127.0263343,37.66015554],[127.02611087,37.66037107],[127.02594484,37.66061696],[127.0258426,37.66088378],[127.02580808,37.66116125],[127.0258426,37.66143872],[127.02594484,37.66170553],[127.02611087,37.66195142],[127.0263343,37.66216695],[127.02660656,37.66234382],[127.02691717,37.66247525],[127.02725421,37.66255619],[127.02760471,37.66258352],[127.02795522,37.66255619],[127.02829225,37.66247525],[127.02860287,37.66234382],[127.02887512,37.66216695],[127.02909856,37.66195142],[127.02926458,37.66170553],[127.02936682,37.66143872],[127.02940134,37.66116125]]]}",2019-10-10,도봉구
